timestamp,perno,year_of_birth,gender,have_driver_license,student,education_level_attained,work_for_pay_or_profit,number_of_paid_jobs,primary_job_is_full_time,primary_job_classification,mode_used_to_get_to_work,how_long_was_your_commute,flexible_work_schedule_at_primary_job,remote_or_other_work_location_allowed,number_of_days_remote_or_other_work_location,employment_description,own_or_rent,housing_type,household_income,household_size,number_of_children_under_18,number_of_hh_member_with_driver_license,number_of_household_vehicles,alternative_mode_if_a_car_is_not_available,disability,length_of_disability,age_calculated,age_calculated_nrel_agebin
9/19/2020 10:48:28,e7b24d99-324d-4d6d-b247-9edc87d3c848,REDACTED,Man / Masculino.,Yes / Si,Not a student / No es un estudiante.,High school graduate or GED / Graduado de secundaria o GED.,Yes / Si,No / No,Full-time / Tiempo completo,Clerical or administrative support / Apoyo administrativo o de oficina.,Car / Coche,30,No / No,Yes / Si,1.0,,Own / Propio.,Single family house / Casa unifamiliar.,"$25,000-$49,999",2,0,2,2,Bicycle / Bicycleta.,No / No,,REDACTED,4
9/19/2020 10:49:44,c8b9fe22-86f8-449a-b64f-c18a8d20eefc,,Man / Masculino.,Yes / Si,Yes. I take cannabis courses and attend seminars. Not a technical university student however,High school graduate or GED / Graduado de secundaria o GED.,Yes / Si,Yes / Si,Full-time / Tiempo completo,"Manufacturing, construction, maintenance, or farming / Fabricación, construcción, mantenimiento o agricultura.",SUV / SUV,27,No / No,No / No,,,Rent / Alquilado,Condominium/apartment / Condominio / apartamento.,"Less than $24,999 / Menos de $24,999",2,0,2,1,"Public transportation (bus, subway, light rail, etc.) / Transporte público (autobús, metro, tren ligero, etc.), Get a ride from a friend or family member / Obtener transporte de un amigo o familiar., Shared bicycle or scooter / Bicicleta o scooter compartido., Taxi (regular taxi, Uber, Lyft, etc) / Taxi (taxi regular, Uber, Lyft, etc.)",No / No,,,3
9/19/2020 12:43:00,5079bb93-c9cf-46d7-a643-dfc86bb05605,,Woman / Femenino.,Yes / Si,Not a student / No es un estudiante.,High school graduate or GED / Graduado de secundaria o GED.,Yes / Si,Yes / Si,Full-time / Tiempo completo,Rents party,Car / Coche,20,Yes / Si,No / No,,,Rent / Alquilado,Condominium/apartment / Condominio / apartamento.,"Less than $24,999 / Menos de $24,999",3,1,2,2,"Public transportation (bus, subway, light rail, etc.) / Transporte público (autobús, metro, tren ligero, etc.), Bicycle / Bicycleta., Walk/roll / Caminar / rodar.",No / No,,,4
9/19/2020 13:35:26,1d292b85-c549-409a-a10d-746e957582a0,,Man / Masculino.,No / No,Not a student / No es un estudiante.,Some college or associates degree / Algún título universitario o asociado.,Yes / Si,Yes / Si,Part-time / Tiempo parcial,Sales or service / Ventas o servicio.,Bicycle / Bicicleta,5,No / No,No / No,,,Rent / Alquilado,Condominium/apartment / Condominio / apartamento.,"Less than $24,999 / Menos de $24,999",2,1,0,0,"Public transportation (bus, subway, light rail, etc.) / Transporte público (autobús, metro, tren ligero, etc.), Bicycle / Bicycleta., Walk/roll / Caminar / rodar.",No / No,,,4
9/19/2020 14:08:33,cb3222a7-1e72-4a92-8b7b-2c4795402497,,Man / Masculino.,No / No,Yes - K-12th Grade including GED / Sí – K hasta12º grado incluyendo GED.,Less than a high school graduate / Menos que un graduado de secundaria.,No / No,No / No,Full-time / Tiempo completo,"Professional, managerial, or technical / Profesional, gerencial o técnico.",Public or commuter bus / Autobús público.,16,No / No,No / No,,I’m currently employed outside my home / Actualmente estoy empleado fuera de mi casa.,Rent / Alquilado,Condominium/apartment / Condominio / apartamento.,"$25,000-$49,999",1,0,0,0,"Public transportation (bus, subway, light rail, etc.) / Transporte público (autobús, metro, tren ligero, etc.)",Yes / Si,More than 6 months / Más de 6 meses.,,3
9/21/2020 18:31:30,113aef67-400e-4e21-a29f-d04e50fc42ea,,Man / Masculino.,No / No,Not a student / No es un estudiante.,High school graduate or GED / Graduado de secundaria o GED.,Yes / Si,Yes / Si,Full-time / Tiempo completo,Sales or service / Ventas o servicio.,Car / Coche,30,No / No,No / No,,,Rent / Alquilado,Multi-family house / Casa multifamiliar.,"$25,000-$49,999",1,0,1,2,"Public transportation (bus, subway, light rail, etc.) / Transporte público (autobús, metro, tren ligero, etc.)",No / No,,,2
9/21/2020 19:03:27,feabfccd-dd6c-4e8e-8517-9d7177042483,,Man / Masculino.,No / No,Not a student / No es un estudiante.,High school graduate or GED / Graduado de secundaria o GED.,Yes / Si,No / No,Full-time / Tiempo completo,Sales or service / Ventas o servicio.,Bicycle / Bicicleta,10,No / No,No / No,,,Own / Propio.,Single family house / Casa unifamiliar.,"$25,000-$49,999",5,0,1,1,Bicycle / Bicycleta.,No / No,,,3
9/22/2020 16:31:52,576e37c7-ab7e-4c03-add7-02486bc3f42e,,Woman / Femenino.,Yes / Si,Not a student / No es un estudiante.,High school graduate or GED / Graduado de secundaria o GED.,Yes / Si,Yes / Si,Part-time / Tiempo parcial,Community work,Car / Coche,15,Yes / Si,Yes / Si,0.0,,Rent / Alquilado,Multi-family house / Casa multifamiliar.,"Less than $24,999 / Menos de $24,999",3,0,1,1,Bicycle / Bicycleta.,No / No,,,5
9/23/2020 18:05:04,898b1a5e-cdd4-4a0c-90e4-942fa298e456,,Woman / Femenino.,Yes / Si,Not a student / No es un estudiante.,Graduate degree or professional degree / Licenciatura o título profesional.,No / No,No / No,Part-time / Tiempo parcial,"Manufacturing, construction, maintenance, or farming / Fabricación, construcción, mantenimiento o agricultura.",Public or commuter bus / Autobús público.,75,Yes / Si,No / No,,I’m currently employed outside my home / Actualmente estoy empleado fuera de mi casa.,Rent / Alquilado,I am unhoused / No tengo casa.,"Less than $24,999 / Menos de $24,999",1,0,1,0,"Public transportation (bus, subway, light rail, etc.) / Transporte público (autobús, metro, tren ligero, etc.)",No / No,,,5
9/26/2020 11:38:58,1044195f-af9e-43d4-9407-60594e5e9938,,Man / Masculino.,No / No,Not a student / No es un estudiante.,Some college or associates degree / Algún título universitario o asociado.,Yes / Si,No / No,Full-time / Tiempo completo,"Manufacturing, construction, maintenance, or farming / Fabricación, construcción, mantenimiento o agricultura.",Bicycle / Bicicleta,45,No / No,No / No,,,Rent / Alquilado,Condominium/apartment / Condominio / apartamento.,"Less than $24,999 / Menos de $24,999",4,0,1,1,"Public transportation (bus, subway, light rail, etc.) / Transporte público (autobús, metro, tren ligero, etc.)",No / No,,,6
9/26/2020 12:56:21,960835ac-9d8a-421d-8b8a-bf816f8a4b92,,Woman / Femenino.,Yes / Si,Not a student / No es un estudiante.,Graduate degree or professional degree / Licenciatura o título profesional.,No / No,No / No,Part-time / Tiempo parcial,Tester,Bicycle / Bicicleta,50,Yes / Si,Yes / Si,7.0,I’m currently employed outside my home / Actualmente estoy empleado fuera de mi casa.,Rent / Alquilado,Condominium/apartment / Condominio / apartamento.,"Less than $24,999 / Menos de $24,999",1,0,1,1,"Public transportation (bus, subway, light rail, etc.) / Transporte público (autobús, metro, tren ligero, etc.), Bicycle / Bicycleta., Shared bicycle or scooter / Bicicleta o scooter compartido.",No / No,,,5
10/9/2020 15:02:24,cb3222a71e724a928b7b2c4795402497,,Man / Masculino.,No / No,Prefer not to say / Prefiero no decir.,Some college or associates degree / Algún título universitario o asociado.,No / No,Prefer not to say / Prefiero no decir.,Full-time / Tiempo completo,Healthcare,Lightrail / Tren eléctrico.,10,No / No,No / No,,I’m currently employed outside my home / Actualmente estoy empleado fuera de mi casa.,Rent / Alquilado,Condominium/apartment / Condominio / apartamento.,"Less than $24,999 / Menos de $24,999",1,0,0,0,"Public transportation (bus, subway, light rail, etc.) / Transporte público (autobús, metro, tren ligero, etc.)",No / No,,,3
10/14/2020 19:38:11,efdbea3b-eef6-48fc-9558-7585f4ad6f24,,Man / Masculino.,Yes / Si,Not a student / No es un estudiante.,Bachelor's degree / Licenciatura.,Yes / Si,Yes / Si,Part-time / Tiempo parcial,"Professional, managerial, or technical / Profesional, gerencial o técnico.",Bicycle / Bicicleta,35,No / No,Yes / Si,3.0,,Housing provided by work ,Multi-family house / Casa multifamiliar.,"Less than $24,999 / Menos de $24,999",4,3,2,1,"Public transportation (bus, subway, light rail, etc.) / Transporte público (autobús, metro, tren ligero, etc.), Get a ride from a friend or family member / Obtener transporte de un amigo o familiar., Bicycle / Bicycleta.",No / No,,,4
11/6/2020 15:02:35,cb3222a71e724a928b7b2c4795402497,,Man / Masculino.,No / No,Not a student / No es un estudiante.,High school graduate or GED / Graduado de secundaria o GED.,No / No,Yes / Si,Full-time / Tiempo completo,Healthcare,Lightrail / Tren eléctrico.,60,No / No,No / No,,I’m currently employed outside my home / Actualmente estoy empleado fuera de mi casa.,Rent / Alquilado,Single family house / Casa unifamiliar.,"$25,000-$49,999",1,0,0,0,"Public transportation (bus, subway, light rail, etc.) / Transporte público (autobús, metro, tren ligero, etc.)",No / No,,,3
11/10/2020 15:33:47,cb3222a71e724a928b7b2c4795402497,,Man / Masculino.,No / No,Not a student / No es un estudiante.,High school graduate or GED / Graduado de secundaria o GED.,No / No,No / No,Full-time / Tiempo completo,Healthcare,Lightrail / Tren eléctrico.,60,No / No,No / No,,I’m currently employed outside my home / Actualmente estoy empleado fuera de mi casa.,Rent / Alquilado,Condominium/apartment / Condominio / apartamento.,"$25,000-$49,999",1,0,0,0,"Public transportation (bus, subway, light rail, etc.) / Transporte público (autobús, metro, tren ligero, etc.)",No / No,,,3
