timestamp,perno,ebike_ride_frequency,average_number_of_ebike_trips_in_a_day,ebike_trip_purpose,do_ebike_trips_replace_car_trips,number_of_car_trip_replaced_by_ebike,any_problems_with_can_bike_co_app,list_of_problems_with_can_bike_co_app,comments_about_the_can_bike_co_app,ebike_mechanical_issues,comment_on_ebike_mechinal_issue,ask_for_help_from_support_program_staff,was_the_problem_solved_by_program_administrators,help_somewhere_else_where_and_who_helped,was_the_problem_solved,wish_program_support_last_week,any_additional__bike_accesory,plan_to_continue_participanting_in_program,reason_for_not_continuing_participanting_in_program,do_you_ride_the_ebike_more_than_manual_bike,do_other_household_members_ride_a_bike_more_often_now_that_you_,experience_riding_ebike,user_input_on_experience_riding_ebike,additional_feedback
10/13/2020 23:22:11,feabfccddd6c4e8e85179d7177042483,7,2,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos.",Yes / Sí,10+,No / No,,,No / No,,,,,,None that I could think of.,Something that I could attach a speaker to.,Yes / Sí,,Yes / Sí,Yes / Sí,I had a driver complement me as I ride the road along with them. And wished for my safety.,It's heavier than my own hybrid. But I'm quickly accustomed to it.,
10/19/2020 20:47:21,1d292b85c549409aa10d746e957582a0,3,3,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., Medical",No / No,None / Ninguna,No / No,,,No / No,,,,,,,,Yes / Sí,,Yes / Sí,No / No,Coyotes,I can get places quicker than on a bus.,
10/20/2020 12:54:30,8b56334852b34e3eb046a0aaf4fcea15,4,2,"To visit family or friends / Para visitar a familiares o amigos., For exercise / Para hacer ejercicio.",Yes / Sí,4-6,Yes / Sí,I don't know how to track my trip.,I really love it.,No / No,,,,,,The ebike app,No,Yes / Sí,,Yes / Sí,Yes / Sí,Travel furthet,I can go further without tired.,No
10/23/2020 15:55:58,feabfccddd6c4e8e85179d7177042483,6,10,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.",Yes / Sí,10+,Yes / Sí,A few days It didn't start tracking until I arrived at my destination.,Can my bear be a bunny?,Yes / Sí,A Flat,No / No,No / No,Did it myself. Just a flat tire.,Unsure / No estoy seguro.,,,Yes / Sí,,Yes / Sí,No / No,I helped what looked to be a homeless man find an Inn.,Cruising. Peaceful. Pleasing.,
10/24/2020 8:01:49,c8b9fe2286f8449ab64fc18a8d20eefc,1,2,Lunch,Yes / Sí,1-3,Yes / Sí,"1) speedometer isn’t always accurate. Often 10-20 mph off. Not really an issue but figured I’d mention it. One trip a few weeks back, it clocked me biking at “70mph” hahahahaha","1)I’d like to see a real time active trip display. 
2)I’d like a manual trip start and end option for whenever trips don’t seem to record. Had a bunch of trips that didn’t record, both car, walking, and biking. ",No / No,,,,,,No,"Cell phone GPS type carrier would be nice. 

Not to be that guy, I do wish the bikes chosen had shocks as roads in Colorado are well... you know haha. But it’s a free ebike! Who could complain! Not having shocks is the only “issue” I’ve had so far. 
",Yes / Sí,,Yes / Sí,Yes / Sí,"The way it pulls you up hills with zero extra physical input from the user is very, very cool! It’s freakish feeling haha. ","My experience riding an ebike has been fun. The bike is a blast to ride and such a better economical and environmentally conscious choice. 
Plenty of compliments from avid bikes on my bike and it’s features! Bike enthusiasts like it as well!
Currently not able to bike all the way home and to work as it’s very far even for this ebike, so that’s the only “bad” part. 
Well and big bumps are very sketchy. At the right speed and when turning, a big enough bump could definitely throw you off. ",
10/25/2020 13:02:23,898b1a5ecdd44a0c90e4942fa298e456,4,3,"To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos.",Yes / Sí,1-3,No / No,,Great program ,No / No,,,,,,No,No,Yes / Sí,,Yes / Sí,No / No,Traffic problems ,Riding in the bike lanes drivers are aggressive ,No
11/2/2020 14:55:32,feabfccddd6c4e8e85179d7177042483,5,2,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.",Yes / Sí,10+,No / No,,Some form of activity with the bear. Motivate more use in the bike.,Yes / Sí,Innertube nozzle broke off during the frigid cold we had. Ran a flat a few days.,Yes / Sí,Yes / Sí,,Yes / Sí,Video tutorials on any and all things related to riding a bike.,Some form of covering for when the bike sits out in the elements.,Yes / Sí,,Yes / Sí,No / No,Recieving the flat I mentioned earlier.,Gets me where I need to be without wasting so much stamina.,
11/3/2020 6:53:42,1d292b85c549409aa10d746e957582a0,3,2,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.",Yes / Sí,1-3,Yes / Sí,Some of my trips didn't get recorded.,No,Yes / Sí,Chain came off a few times.  Having some issues with shifting smoothly. ,,Not yet / Todavía no.,,,No,Ungoverned. ,Yes / Sí,,Unsure / No estoy seguro.,No / No,A lot of people ask about it ,It's much easier to get longer distances.,No
11/4/2020 11:56:38,c8b9fe2286f8449ab64fc18a8d20eefc,1,1,To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.,Yes / Sí,1-3,No / No,,,No / No,,,,,,,,Yes / Sí,,Yes / Sí,Yes / Sí,"Besides the climb up hills, I find the time frame of travel to be very nice. Much faster than a manual bicycle. ","It’s been great. Due to the cold weather and snow for the week I’m reporting on I wasn’t riding it much as I primarily stayed indoors at home, which is never fun haha. ",
11/7/2020 8:59:49,8b56334852b34e3eb046a0aaf4fcea15,3,1,"To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos.",Yes / Sí,1-3,Yes / Sí,The tracker doesn't work,No,Yes / Sí,Flat tire,No / No,Yes / Sí,Friends or Family / Amigos o familiares.,Yes / Sí,No,No,Yes / Sí,,Yes / Sí,Yes / Sí,Easy and travel further,I like it.,No
11/10/2020 17:11:57,1d292b85c549409aa10d746e957582a0,3,2,"To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos., For exercise / Para hacer ejercicio.",No / No,None / Ninguna,Yes / Sí,Almost a full days worth of travel didn't show up in my journal.,No,Yes / Sí,I'm having an issue with shifting properly. ,No / No,Unsure / No estoy seguro.,,,No,No,Yes / Sí,,Unsure / No estoy seguro.,No / No,,It's much easier.  ,
11/10/2020 17:48:18,1044195faf9e43d4940760594e5e9938,2,3,"To get to/from work / Para ir o volver del trabajo., To visit family or friends / Para visitar a familiares o amigos., For exercise / Para hacer ejercicio.",Yes / Sí,1-3,No / No,,I enjoy my bike and it's still a blessing,No / No,,,,,,No,Just something to put my water down,Yes / Sí,,Yes / Sí,No / No,I love extra help,Just enjoyable,No I just enjoy the program and I think it's wonderful and I think it's very helpful to people in my financial situation
11/10/2020 20:34:20,feabfccddd6c4e8e85179d7177042483,6,10,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos.",Yes / Sí,10+,No / No,,Needs to track distance from point a to point b. Like I would leave the house and go to a coffeeshop. I starts my travel halfway through the whole trip.,No / No,,,,,,,Cup/bottle holder. Or a holder for a bluetooth speaker.,Yes / Sí,,Yes / Sí,No / No,Nothing to report!,Ride with ease. Still uneasy in riding on snow/ice though.,Let's do something more for the bears.
11/13/2020 8:57:08,960835ac9d8a421d8b8abf816f8a4b92,6,5,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos., For exercise / Para hacer ejercicio.",Yes / Sí,1-3,No / No,,Thank you for the opportunity to ride in the community show the community we need to bike more,No / No,,,,,,No I'm updated on all programs,I have all accessories for my bike and training,Yes / Sí,,Yes / Sí,Yes / Sí,How colorado is building more and with driving i don't see new stores are apartments build in the community,I have lost 11 pounds i can shop go where ever i wanna go buddy up with friends i get STRENGTH when i ride get away from the house for a while.,
11/13/2020 15:59:19,e7b24d99324d4d6db2479edc87d3c848,0,1,For exercise / Para hacer ejercicio.,No / No,1-3,Yes / Sí,I was logged off,It’s great ,Yes / Sí,Flat tire punctured tire ,Yes / Sí,Not yet / Todavía no.,Bike shop / Tienda de bicicletas.,Yes / Sí,No,No,Yes / Sí,,Yes / Sí,No / No,How fast it is,Love it ,I love this program 
11/15/2020 8:27:01,c8b9fe2286f8449ab64fc18a8d20eefc,3,1,"To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos.",Yes / Sí,4-6,Yes / Sí,"Still having issues with trips showing up. Car, bike, skateboard, and walking trips don’t really show up on the app for whatever reason but sometimes will. 
At this point I think it’s my outdated iPhone 6 and the new iOS update because all my apps and phone features are wacky. Getting new phone next month. ",,No / No,,,,,,,Phone holder would be amazing feature. Gonna buy me one haha,Yes / Sí,,Yes / Sí,Yes / Sí,My family wanting to go on more recreational trips. It’s great. ,Had some issues hitting bumps this week with no shocks but it’s lovely still!,
11/16/2020 19:18:02,5079bb93c9cf46d7a643dfc86bb05605,1,2,To get to/from work / Para ir o volver del trabajo.,Yes / Sí,1-3,No / No,,No,No / No,,,,,,No,No,Yes / Sí,,Yes / Sí,Yes / Sí,El frío de las mañanas ,Súper bien ,No
11/17/2020 9:46:34,960835ac9d8a421d8b8abf816f8a4b92,5,8,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., For exercise / Para hacer ejercicio.",Yes / Sí,7-10,No / No,,I like it,No / No,,,,,,No,No,Yes / Sí,,Yes / Sí,Yes / Sí,The new areas in Stapleton ,It's wonderful get out exercise get some air enjoy the breeze,Thank you i save a lot of money riding my bike and loosing weight too
11/17/2020 10:04:37,8b56334852b34e3eb046a0aaf4fcea15,0,1,The tire got flat so I can't ride.,No / No,None / Ninguna,Yes / Sí,Tracking,No,Yes / Sí,The tire,No / No,Yes / Sí,Friends or Family / Amigos o familiares.,No / No,No,No,Yes / Sí,,Yes / Sí,Yes / Sí,Exercise and transportation,Fun,No
11/17/2020 10:12:01,1d292b85c549409aa10d746e957582a0,2,1,To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.,No / No,None / Ninguna,No / No,,No,Yes / Sí,Shifting issues,No / No,Unsure / No estoy seguro.,,,No,,Yes / Sí,,Unsure / No estoy seguro.,No / No,,It's nice,No
11/17/2020 10:27:40,feabfccddd6c4e8e85179d7177042483,7,18,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.",Yes / Sí,10+,No / No,,Is there an option for it to not wake up my phone when it alerts me?,Yes / Sí,Innertube burst. Two times.,No / No,Unsure / No estoy seguro.,Took care of it myself.,Unsure / No estoy seguro.,Proper maintaining of the Ebike. Be it chain cleaning/greasing. Know how to ride on certain terrain.,More Innertubes,Yes / Sí,,Yes / Sí,No / No,How easy it is to bust the innertubes. ,Casual riding from place to place without taxing your own stamina. Can go all day as long as there's battery life left.,Hi-score point system based on distance traveled for the week. With a leaderboard that refreshes every other week.
11/18/2020 0:44:46,898b1a5ecdd44a0c90e4942fa298e456,2,3,To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.,Yes / Sí,4-6,Yes / Sí,Code was missing,No,No / No,,,,,,No,No,Yes / Sí,,Yes / Sí,Yes / Sí,How smooth it id,The transition from regular to electric,No
11/21/2020 14:17:23,c8b9fe2286f8449ab64fc18a8d20eefc,4,2,"To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos., For exercise / Para hacer ejercicio.",Yes / Sí,4-6,Yes / Sí,Still issues with location and tracking. Would like to see manual trip start for older phones and outdated software.,"Still issues with location and tracking. Would like to see manual trip start for older phones and outdated software.
Trips will show up sometimes for a split second and cease to ever show up again. I hit the fix map button and it will sometimes fix it. ",No / No,,,,,,I can’t remember if this has been covered but a video for participants that covers how to winterize a bike would be pretty handy this time of year! Especially if your not from here or unfamiliar with bike riding in cold weather. ,One thing I did forget to mention is the helmet given to me was a little to big for me. I had plenty of helmets so it’s not big deal personally but a helmet option for smaller heads in the future programs would be nice and probably save y’all some money as well. ,Yes / Sí,,Yes / Sí,Yes / Sí,,It’s been fun. It’s getting cold however so these handle bar mittens are so lovely!!! ,
11/24/2020 8:16:28,5079bb93c9cf46d7a643dfc86bb05605,2,4,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.",Yes / Sí,1-3,No / No,,,Yes / Sí,,No / No,No / No,,No / No,,,Yes / Sí,,Yes / Sí,No / No,Cambió de ánimo  mucho mejor ,Me gusta ,Gracias por la oportunidad de  tener una bici  genial 
11/26/2020 7:58:39,1044195faf9e43d4940760594e5e9938,0,1,"To get to/from work / Para ir o volver del trabajo., Didn't try this week",No / No,None / Ninguna,No / No,,No,No / No,,,,,,No ,Just a place to hold the water jug,Yes / Sí,,Yes / Sí,Yes / Sí,I get where I'm going to faster,Very enjoyable,No
11/27/2020 16:03:20,898b1a5ecdd44a0c90e4942fa298e456,3,4,To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.,Yes / Sí,4-6,No / No,,No,No / No,,,,,,No,No,Yes / Sí,,Yes / Sí,No / No,Dependability ,I. Enjoy the ride,No
11/30/2020 3:20:48,1044195faf9e43d4940760594e5e9938,0,1,I didn't write this week do the weather,No / No,None / Ninguna,No / No,,No,No / No,,,,,,No,No,No / No,I didn't ride last week to the weather,No / No,No / No,Get to work faster,Free enjoyable and easier to ride,No
11/30/2020 15:24:54,e7b24d99324d4d6db2479edc87d3c848,4,1,To visit family or friends / Para visitar a familiares o amigos.,Yes / Sí,1-3,No / No,,,No / No,,,,,,,,Yes / Sí,,Yes / Sí,No / No,The visuals ,Amazing,
11/30/2020 15:33:09,1d292b85c549409aa10d746e957582a0,1,2,To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.,No / No,None / Ninguna,Yes / Sí,Could not get some of the drop down panels to move so that I could access all the choices within them. They were just kinda stuck and I had to make choices on the few options that were showing.,No,No / No,,,,,,No,Another pannier bag,Yes / Sí,,Unsure / No estoy seguro.,No / No,,It's been nice,No
11/30/2020 20:06:59,feabfccddd6c4e8e85179d7177042483,6,10,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos.",Yes / Sí,10+,No / No,,,No / No,,,,,,None come to mind.,Perhaps cleaning supplies for the bike.,Yes / Sí,,Yes / Sí,No / No,Nothing stands out this week.,Nothing of interest happen this week.,You guys and gals and in betweens doing a good job.
11/30/2020 22:01:52,898b1a5ecdd44a0c90e4942fa298e456,3,2,To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.,Yes / Sí,1-3,No / No,,No,No / No,,,,,,No,No,Yes / Sí,,Yes / Sí,No / No,The stares ,Positive ,No
12/3/2020 6:07:13,c8b9fe2286f8449ab64fc18a8d20eefc,2,2,To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.,Yes / Sí,1-3,Yes / Sí,Talking to Shankari (app developer) and he’s solving whatever issue I’m having with the app!,,No / No,,,,,,,,Yes / Sí,,Yes / Sí,Yes / Sí,,,
12/8/2020 18:36:15,feabfccddd6c4e8e85179d7177042483,7,2,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.",Yes / Sí,1-3,No / No,,I do not.,No / No,,,,,,None comes to mind.,Cup/bottle holder,Yes / Sí,,Yes / Sí,No / No,Nothing out of the ordinary happened this week.,Its relaxing. Never tire after a ride.,You guys are doing great.
12/10/2020 8:52:00,c8b9fe2286f8449ab64fc18a8d20eefc,1,1,To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.,Yes / Sí,1-3,No / No,,,No / No,,,,,,,Chain lube but I bought some :),Yes / Sí,,Yes / Sí,Yes / Sí,"Short commutes are just as fast on an ebike as they are in a car, if not faster! 
I had my girlfriend drive to the grocery store while I biked this week to test this and I beat her to the store. 
Short 0.1-2 mile trips can seemingly almost be done faster on ebikes, of course depending on the route, cross streets, location, etc. ","Efficient, fun, and quick when staying going places close to home!",
12/11/2020 12:51:59,1d292b85c549409aa10d746e957582a0,3,3,"To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos., For exercise / Para hacer ejercicio.",No / No,None / Ninguna,No / No,,,No / No,,,,,,,,Yes / Sí,,Unsure / No estoy seguro.,Unsure / No estoy seguro.,,I like it,
12/15/2020 13:08:03,1d292b85c549409aa10d746e957582a0,2,4,"To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., For exercise / Para hacer ejercicio.",No / No,None / Ninguna,No / No,,,No / No,,,,,,,Extra pannier,Yes / Sí,,Unsure / No estoy seguro.,Yes / Sí,Riding with my son in a pull behind trailer to go do things ,It's been great,
12/15/2020 15:17:23,feabfccddd6c4e8e85179d7177042483,6,2,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.",Yes / Sí,10+,No / No,,If it doesn't turn on my phone when it alerts.,No / No,,,,,,None come to mind.,Cup/Bottle holder.,Yes / Sí,,Yes / Sí,No / No,Took it to the shop to get the free tine up.,Gained some confidence riding in the snow.,Do we need studded tires for the ice/snow?
12/18/2020 9:19:20,c8b9fe2286f8449ab64fc18a8d20eefc,2,2,Work breaks. ,Yes / Sí,1-3,No / No,,I don’t receive any notifications from the app even when I’ve been told I should be receiving some. It’s not an issue but I just am not sure what notifications I’m supposed to be seeing,No / No,,,,,,,"Very difficult to ride in snow or icy conditions with the tires installed. 
Would be nice to see better cold weather traction tires installed in the case of future programs starting near the winter months. ",Yes / Sí,,Yes / Sí,Yes / Sí,,"Quite dangerous with these tires in the icy conditions we currently have, the bike slides out on almost anything except dry, smooth pavement. But thank god for the handlebar mittens and helmets :) ","Heads up, I will be leaving town for the rest of December for Christmas vacation  back home in Alabama :)
So this is going to be my last survey for the year as I’ll be 1200 miles away from my bike the rest of this month. 
I’ll be back December 31st/January 1st and will continue to give feedback after I return home to my ebike and Colorado! I will give feedback well past the cut off date!"
12/18/2020 12:51:31,960835ac9d8a421d8b8abf816f8a4b92,6,5,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos., For exercise / Para hacer ejercicio.",Yes / Sí,7-10,No / No,,Love my bike,No / No,,,,,,The program is awsome i always get support for my bike,They support me with accessories for my bike,Yes / Sí,,Yes / Sí,Yes / Sí,Seeing new exciting places new locations on my bike,I love the ride to exercise and see people and meet new people ,It would be nice to see my families be involved in the program
12/22/2020 20:43:49,960835ac9d8a421d8b8abf816f8a4b92,5,6,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos., For exercise / Para hacer ejercicio.",Yes / Sí,4-6,No / No,,It's great no problems,No / No,,,,,,The team always keep me inform ,The team always give me cool accessories,Yes / Sí,,Yes / Sí,Yes / Sí,Going longer on my bike newer community see lots of news people shopping places ,It's great !!!exercise get out more feels great,We are on winter i still ride 
12/23/2020 17:18:41,1d292b85c549409aa10d746e957582a0,2,1,For exercise / Para hacer ejercicio.,No / No,None / Ninguna,No / No,,,No / No,,,,,,No,No,Yes / Sí,,Unsure / No estoy seguro.,Unsure / No estoy seguro.,,It's great,
12/23/2020 20:58:31,feabfccddd6c4e8e85179d7177042483,7,2,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.",Yes / Sí,10+,Yes / Sí,Happened just after the last survey. It kept beeping me every 5 minutes on trips I didn't take and crashes every so often. App shows no trips to report on while doing this.,Not really.,No / No,,,,,,No.,Cup holder. Or some wizardry to hold a bluetooth speaker.,Yes / Sí,,Yes / Sí,No / No,It rode on snow really well with the right pressure,Can go far and never tire.,Happy Holidays!
12/27/2020 18:37:26,8b56334852b34e3eb046a0aaf4fcea15,2,3,To visit family or friends / Para visitar a familiares o amigos.,Yes / Sí,1-3,No / No,,I love it.,No / No,,,,,,No,Shirt for the winter.,Yes / Sí,,Yes / Sí,Yes / Sí,Easy,Easy so i like it.,No
12/28/2020 19:53:56,960835ac9d8a421d8b8abf816f8a4b92,5,5,"To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos., For exercise / Para hacer ejercicio.",Yes / Sí,4-6,No / No,Na,Wonderful,No / No,,,,,,Every thing is good,I am always have extra accessories,Yes / Sí,,Yes / Sí,Yes / Sí,Seeing new buildings in the community,Get away to ride and exercise feels great,Thank you for a Great Bike
